ID,Name,Slug,Status,Category,Subcategory,Area,Price Range,Featured,Insider Pick,Best Of,Verified,Description,Insider Tip,Address Description,Hours Text,Phone,WhatsApp,Email,Website,Facebook,Instagram,Latitude,Longitude,Rating,Review Count,Features,Collections,Images,Additional Categories,Additional Locations,Menu Images
b013,Cafe de Palo,cafe-de-palo,active,Eat,Cafe,West End,$,no,no,no,yes,"Hidden coffee gem in Mangrove Bight with three gorgeous seating areas — including a covered dock on the water with couches. Espresso, fresh pastries, all-day brunch, and cocktails. An escape from the West End crowds.",The atmosphere alone is worth the visit - perfect for remote work.,"Mangrove Bight, West End",Wed–Mon 7am–6pm; Closed Tue,,,,,,@cafedepalo,16.3075,-86.5902,4.4,51,"Coffee, WiFi, Breakfast",,business_placeholder,,,
b019,Thirsty Turtle,thirsty-turtle,active,Eat,Pizza,West Bay,$$,no,no,no,yes,"Lively beachfront bar and restaurant at Bananarama on West Bay Beach. Wood-fired brick oven pizza, sunset cocktails, and nightly entertainment — karaoke, trivia, crab races, and fire dancers. The fun never stops at the Turtle.",Their pizza spot on the deck is the perfect casual dinner.,West Bay Beach,"Daily breakfast, lunch, dinner; Happy Hour 4–6pm",,,,,,@thirstyturtleroatan,16.2775,-86.5994,4.2,1366,"Beachfront, Live Music, Family Friendly",,business_placeholder,nightlife:Live Music,,
b020,Naboo Restaurant,naboo-restaurant,active,Eat,Caribbean Fusion,West Bay,$$,no,no,no,yes,"Refined Caribbean fusion at this adults-only West Bay resort restaurant. Exquisite local cuisine, fresh seafood, and tropical garden ambiance with stunning ocean views. Surprisingly reasonable prices for the quality and setting.",Ask for the seafood special of the day.,West Bay Beach area,Daily 7am–8:30pm,,,,,,,16.28,-86.597,4.8,139,"Ocean View, Reservations, Romantic",,business_placeholder,,,
b022,Ibagari Sea Salt Restaurant,ibagari-sea-salt,active,Eat,Fine Dining,West Bay,$$$,no,no,no,yes,West Bay's #1-ranked restaurant on TripAdvisor. Chef Rick Zachrisson serves USDA Prime beef and fresh-caught fish in an intimate oceanfront setting at Ibagari Boutique Hotel. The lobster ravioli and limoncello tiramisu are legendary.,The tasting menu is a splurge but worth every penny.,"Ibagari Boutique Hotel, West Bay",Daily 4:30pm–10pm; Closed Mon,,,,,,,16.287586,-86.59598,4.8,200,"Fine Dining, Reservations, Romantic",,business_placeholder,,,
b023,Hangover Hut,hangover-hut,active,Eat,Cafe,West Bay,$,no,no,no,yes,"Canadian-run West Bay beachfront spot famous for real-deal poutine, USDA burgers, donairs, and Philly cheese chicken. Live entertainment nightly. Comfort food done right on the Caribbean sand — because sometimes you need gravy with your ocean view.","Yes, the poutine in the Caribbean is actually amazing.",West Bay Beach,Daily; hours vary,,,,,,,16.278,-86.599,4.7,487,"Beachfront, Live Music, Budget Friendly",,business_placeholder,,,
b024,La Placita,la-placita,active,Eat,Street Food,West Bay,$,no,no,no,yes,"Open-air collection of food stands in West Bay offering everything from pupusas to tacos to gelato. Multiple vendors, rock-bottom prices, and the casual street food vibe that makes Honduran eating so special. Perfect for a quick, cheap, authentic bite.",Try a pupusa from one stand and gelato from another - best cheap eats.,"Near Bananarama, West Bay",Daily; hours vary by vendor,,,,,,,16.2805,-86.5975,,,"Budget Friendly, Quick Service, Local Food",,business_placeholder,,,
b025,Vintage Pearl,vintage-pearl,active,Eat,Fine Dining,West Bay,$$$,no,no,no,yes,French-Caribbean fine dining at Bananarama Resort with the island's largest wine cellar — a 6-page list. Walk barefoot down a tiki-lit sandy path to a candlelit table. The Sunday brunch is legendary. Worth every lempira.,The wine selection is unmatched on the island - ask the sommelier.,"Bananarama Resort, West Bay",Dinner nightly; Sunday brunch; Reservations recommended,,,,,,,16.275083,-86.5993,4.5,928,"Romantic, Wine Selection, Reservations",,business_placeholder,,,
b026,Celeste's Island Cuisine,celestes-island-cuisine,active,Eat,Seafood,West Bay,$$,no,no,no,yes,Award-winning West Bay seafood restaurant with the best lobster tail on the island and jumbo coconut shrimp. Wednesday all-you-can-eat lobster special is unmissable. Rescued parrots roam the garden. Outdoor romance meets Caribbean flavor.,Thursday night live music with lobster is the island's best date night.,Heart of West Bay,Daily lunch & dinner; Wed all-you-can-eat lobster,,,,,,,16.2805,-86.5973,4.5,856,"Live Music, Romantic, Ocean View",,business_placeholder,,,
b028,Dragonfly Sushi & Fusion,dragonfly-sushi,active,Eat,Asian,Sandy Bay,$$,no,no,no,yes,"Fresh, creative sushi and Asian fusion at Coral Stone Plaza in Sandy Bay. Beautiful murals, full bar, and daily specials. Caribbean-Asian flavors meet affordable prices — a newer spot that's quickly earning a loyal following.",The specialty rolls are creative and beautifully presented.,"Coral Stone Shopping Mall, Sandy Bay",Mon–Fri 12–3pm & 5–9pm,,,,,,@dragonflysushi,16.331448,-86.562917,4.7,7,"Cocktails, Vegetarian Options, WiFi",,business_placeholder,,,
b033,Gio's Restaurant,gios-restaurant,active,Eat,Seafood,French Harbour,$$$,yes,no,yes,yes,"World-renowned French Harbour landmark since 1994. Pioneer of the Spiny Caribbean King Crab dish and winner of Honduras' Top 30 Touristic Marvels award. Fresh seafood, Italian classics, and private waterfront dining at a Roatan institution.",The king crab is the reason this place exists - don't order anything else.,"On the water, French Harbour",Daily lunch & dinner,,,,,,@giosroatan,16.347933,-86.459885,4.3,590,"Waterfront, Reservations, Romantic",,business_placeholder,,,
b034,Romeo's Restaurant,romeos-restaurant,active,Eat,Italian,French Harbour,$$,no,no,no,yes,"Elegant waterfront Italian dining in French Harbour since 1978. Wood-fired pizza from a proper oven, USDA choice steaks, a fresh herb garden, and an excellent wine list. One of Roatan's oldest and most respected restaurants.",The wood-fired pizza rivals anything in Italy.,French Harbour bay front,Mon–Sat lunch & dinner,,,,,,,16.34997,-86.460021,4.5,168,"Waterfront, Pizza, Romantic",,business_placeholder,,,
b035,Herby's Sports Bar & Grill,herbys-sports-bar-grill,active,Eat,American,French Harbour,$$,no,no,no,yes,"Arguably the best sports bar in Honduras. 34 HD TVs, a 10-foot screen, sports memorabilia museum, and a suspended scoreboard — all inside the Clarion Suites. Wings, pizza from $6, and ice-cold beers. NFL Sundays are electric.",Come for game day - the wings and atmosphere can't be beat.,"Clarion Suites, French Harbour",Daily; game nights,,,,,,,16.35939,-86.454936,4.1,334,"Sports TV, WiFi, Family Friendly",,business_placeholder,nightlife:Sports Bar,,
b036,Salty Dawg,salty-dawg,active,Eat,Cajun & Caribbean,Oak Ridge,$$,no,yes,no,yes,"Lively Cajun-inspired waterfront eatery in Oak Ridge, serving creative shrimp, fish, chicken, and pork dishes bursting with flavor. Shares a building on the bay with Serve Coffee. Live music every Friday afternoon draws a fun crowd. A real east-side gem worth the drive from West Bay.",Come for the Friday live music from 1-4pm — grab a waterfront seat early and try the Cajun shrimp.,"On the water in downtown Oak Ridge, same building as Serve Coffee",Daily; Fri live entertainment,,,saltydawgroatan@gmail.com,,https://www.facebook.com/SaltyDawgRoatan/,,16.389587,-86.356025,4.5,50,"Waterfront, Cajun, Live Music, Outdoor Seating, Takeout",,business_placeholder,,,
b042,Booty Bar,booty-bar,active,Drink,Party Bar,West End,$,no,no,no,yes,"Waterfront bar by day, pumping nightclub after dark. Two buildings over the water with DJs, light shows, and Caribbean cocktails. West End's go-to spot when you want to dance with your feet in the sand.",It's chill during the day but gets wild after 10pm.,"Waterfront, West End",Mon–Thu 7:30am–10pm; Fri–Sun 7:30am–late,,,,,,@bootybarroatan,16.3044,-86.59395,4.0,95,"Waterfront, DJ, Dancing",,business_placeholder,nightlife:Night Club,,
b043,Frank's,franks-bar,active,Drink,Party Bar,West End,$,no,no,no,yes,"Late-night West End institution with a cigar lounge, outdoor dance floor between two buildings, and premium Cuban and Honduran cigars. Excellent cocktails flow until the last person leaves. The place to end your night in West End.",This is where the night ends up - usually after midnight.,West End village,Daily noon–late,,,,,,,16.3045,-86.59405,4.0,70,"DJ, Dance Floor, Late Night",,business_placeholder,nightlife:Night Club,,
b044,Tequila Jacks,tequila-jacks,active,Drink,Cocktail Bar,West End,$$,no,no,no,yes,"Craft cocktails, tequila flights, and handmade mojitos at the Brisas del Mar hotel pool bar. Friday night bingo, live bands, and their famous Monkey La La keep the crowd coming back. West End's hottest new gathering spot.",The tequila flight is the best way to start your evening.,"Brisas del Mar Hotel, West End","Daily; Happy Hour, Fri bingo, live bands",,,,,,@tequilajacksroatan,16.299194,-86.594722,,,"Pool, Cocktails, Happy Hour",,business_placeholder,,,
b045,Bariloche,bariloche-wine-bar,active,Drink,Wine Bar,West End,$$,no,no,no,yes,"New wine bar and steakhouse with generous grilled meat platters perfect for sharing. Live music Wednesday and Friday nights, plus a beach bar out front for sunset cocktails. West End's newest chill-and-grill spot.",Wednesday and Friday are live music nights - arrive early for a good seat.,West End village,Daily; live music Wed & Fri,,,,,,,16.304627,-86.5942,,,"Wine Selection, Live Music, Romantic",,business_placeholder,,,
b046,Blue Marlin,blue-marlin-bar,active,Drink,Party Bar,West End,$,yes,no,no,yes,"Roatan's most popular dance club, completely refurbished in 2022. Legendary Thursday karaoke, Saturday trivia nights, and a pumping dance floor with generous rum punches. Breakfast by day, mayhem by night — a true West End tradition.",This is THE party spot past 10pm - the dance floor gets packed.,West End village,"Daily 8am–late; Thu karaoke, Sat trivia",,,,,,,16.3042,-86.5941,4.5,275,"Dance Floor, DJ, Late Night, Dancing",,business_placeholder,nightlife:Night Club,,
b047,Eagle Ray's Bar,eagle-rays-bar,active,Drink,Dive Bar,West End,$,no,no,no,yes,"Laid-back waterfront dive bar built out over the Caribbean, popular with expats and the diver crowd. Cold beers, excellent fish tacos, and a fish soup loaded with crab and lobster. No frills, just good vibes and ocean breezes.",The cheapest cold beers in West End - perfect after a dive.,West End village,Daily; hours vary,,,,,,,16.306198,-86.5927,3.5,100,"Budget Friendly, Social, Waterfront",,business_placeholder,,,
b048,Happy Harry's,happy-harrys,active,Drink,Karaoke,West End,$,no,no,no,no,Popular seafood restaurant and bar with karaoke nights that draw a fun crowd. Gr...,,,,,,,,,,16.3,-86.5,,,,,business_placeholder,nightlife:Karaoke | nightlife:Live Music,,
b049,Beachers Bar & Grill,beachers-bar-grill,active,Drink,Beach Bar,West Bay,$$,yes,no,yes,yes,"Family-run for 15+ years, directly on the white sand of West Bay Beach. The island's longest happy hour (10am–6pm, 2-for-1 cocktails), famous coconut shrimp, and Monday lobster specials — 3 tails for ~$20. Chairs, sun, cold drinks, paradise.",Sunday Fun-Day is the best day party on the island.,"On the sand, West Bay Beach",Mon–Fri 9am–10pm; Sat–Sun 10am–10pm; Happy Hour 10am–6pm,,,,https://beachersroatan.com,,@beachersroatan,16.277956,-86.59925,4.3,350,"Beachfront, Live Music, Family Friendly, Beach, Fun, Dancing",,business_placeholder,nightlife:Beach Party,,
b053,San Simon Beach Club,san-simon-beach-club-bar,active,Drink,Beach Bar,West Bay,$$$,no,no,no,yes,"West Bay's most exclusive beach club with beachside bars, fusion cuisine, lounging beds, and Roatan's premier wedding venue. Barefoot luxury on white sand with genius cocktails and the Caribbean at your feet. Day passes available.",Get a day pass and enjoy the lounge chairs with bottle service.,West Bay Beach,Daily; day passes available,,,,,,,16.272309,-86.6005,4.2,84,"Beachfront, Cocktails, Upscale",,business_placeholder,,,
b054,Coconut Bar,coconut-bar-coxen-hole,active,Drink,Local Bar,Coxen Hole,$,no,yes,no,yes,"Where Coxen Hole locals actually drink. Cold beer, local rum, no tourists, no pretense. If you want to experience real island life beyond the resorts, pull up a stool at this no-frills neighborhood bar.",This is where the locals go - great for an authentic experience.,Coxen Hole town,Daily,,,,,,,16.31612,-86.53834,,,"Local Vibe, Budget Friendly, Social",,business_placeholder,,,
b058,Roatan Island Brewing Co.,island-brewing-roatan,active,Drink,Brewery,Palmetto Bay,$$,no,yes,no,yes,"Roatan's only craft brewery, tucked in lush Palmetto Bay valley. Tropical ales, lagers, apple cider, kombucha, and gluten-free options. Nature trails, foosball, ping pong, fire pit, and cold pints — worth the drive off the beaten path.",Try the West End IPA - brewed with local ingredients.,West End,Wed–Sun 11am–5pm; Closed Mon–Tue,,,,,,@roatanbrewing,16.359755,-86.484682,4.5,50,"Craft Beer, WiFi, Social",,business_placeholder,,,
b065,Paya Bay Beach Bar,paya-bay-beach-bar,active,Drink,Beach Bar,Camp Bay,$$,no,no,no,yes,"Secluded bohemian beach bar at the island's quiet east end, perched on a bluff above Bliss Beach. 24-hour bar, pristine sand, zero crowds, and a clothing-optional vibe that's not for everyone — but unforgettable if it's your scene.",It's worth the drive east for a completely different Roatan experience.,"Paya Bay Resort, east end",24-hour bar,,,,,,,16.428513,-86.313192,4.6,100,"Beachfront, Quiet, Remote",,business_placeholder,,,
b066,Coconut Tree Divers,coconut-tree-divers,active,Dive,Dive Shop,West End,$$,yes,no,yes,yes,"PADI 5-Star Instructor Development Center and Roatan's only TEC Diving Center. IDC, rebreather, sidemount, and divemaster internship programs with 40+ years combined experience. Half Moon Bay's premier dive operation.",Book the early morning dive for the calmest water and best visibility.,"Half Moon Bay, West End","Daily 8am–8pm; Morning boat 9am, Afternoon 1pm & 2:30pm",+504-2445-4231,+50424454231,info@coconuttreedivers.com,https://coconuttreedivers.com,,@coconuttreedivers,16.30571,-86.592872,4.8,1320,"PADI Certified, Courses, Equipment Rental, Night Dives",,business_placeholder,,,
b067,Roatan Divers,roatan-divers,active,Dive,Dive Shop,West End,$$,yes,no,no,yes,"Multi-award-winning PADI 5-Star IDC Eco Center with a fleet of 4 fast custom boats and private docks. Boutique diving focused on small groups, personalized service, and environmental responsibility. The gold standard for Roatan diving.",Their eco-friendly approach means healthier reefs and better dives.,"Main street, West End",Daily,+504-2445-4113,+50424454113,,https://roatandivers.com,,@roatandivers,16.30571,-86.5929,5.0,500,"PADI Certified, Eco Friendly, Small Groups, Courses",,business_placeholder,,,
b068,Sun Divers Roatan,sun-divers-roatan,active,Dive,Dive Shop,West End,$$,no,no,no,yes,"Roatan's first-ever PADI Eco Center, run by husband-wife team Shannon and Natalie. Concierge-style service, active coral restoration programs, and a deep commitment to reef conservation. Diving with a purpose on the Mesoamerican Barrier Reef.",The small group size means more personal attention and better dives.,West End village,Daily,+504-9954-5432,+50499545432,,https://sundiversroatan.com,,@sundiversroatan,16.3055,-86.5928,5.0,300,"PADI Certified, Small Groups, Eco Friendly, Beginner Friendly",,business_placeholder,,,
b069,West End Divers,west-end-divers,active,Dive,Dive Shop,West End,$$,no,no,no,yes,"The longest continuously operating dive shop in West End — a PADI 5-Star Dive Center since 1991. The only shop offering blackwater dive service on Roatan. Spacious boats, well-maintained gear, and decades of reef knowledge.",Their experience shows - the dive masters know every reef like the back of their hand.,West End waterfront,Daily,+504-2445-4289,+50424454289,,https://www.westenddivers.com,,@westenddivers,16.3055,-86.5927,4.8,400,"PADI Certified, Full Service, Wall Dives, Wreck Dives",,business_placeholder,,,
b072,Native Sons Diving,native-sons-diving,active,Dive,Dive Shop,West End,$$,no,yes,no,yes,"Founded in 1993 by local dive legend Alvin Jackson — the longest same-owner dive shop on Roatan. Boutique groups on his custom-built 48ft Uba Isti boat, valet diving, and 60+ years of intimate reef knowledge. A spotless safety record and a true island original.",Ask Alvin for stories - he's been diving these reefs for 60 years.,West End,Daily 8am–5pm,,,,https://www.roatandivingnativesons.com,,@nativesonsdiving,16.306548,-86.59236,5.0,1200,"PADI Certified, Local Guide, Conservation, Professional",,business_placeholder,,,
b074,West Bay Divers,west-bay-divers,active,Dive,Dive Shop,West Bay,$$,no,no,no,yes,"PADI 5-Star Dive Center with two locations right on West Bay Beach. 100+ years combined staff experience, 15 PADI specialty courses, and direct access to the world's second-largest barrier reef. Perfect for beginners and pros alike.",Shore diving right off West Bay Beach is incredible for beginners.,West Bay Beach,"Daily; 2-tank trip 9am, 1-tank trip 2pm",,,,,,@westbaydivers,16.275951,-86.5992,4.8,944,"PADI Certified, Beach Access, Beginner Friendly, Equipment Rental",,business_placeholder,,,
b079,Island Snorkel Tours,island-snorkel-tours,active,Dive,Snorkel Tour,West Bay,$,no,no,no,yes,"Guided snorkel tours exploring the reef right off West Bay Beach — no diving experience needed. Tropical fish, sea turtles, eagle rays, and vibrant coral just 30 feet from shore. The easiest way to see Roatan's underwater world.",Great for kids who want to see the reef without scuba gear.,West Bay Beach,Daily,,,,,,,16.277,-86.5995,4.5,100,"Beginner Friendly, Family Friendly, Equipment Included, Beach Access",,business_placeholder,,,
b081,Deep Blue Freediving,deep-blue-freediving,active,Dive,Freediving,West End,$$,no,no,no,yes,"Explore Roatan's reef on a single breath. Professional PADI and Apnea Total freediving instruction from beginner to master level. Warm crystal-clear water, great depths close to shore, and zero currents — ideal conditions for the ultimate underwater experience.",Even the beginner course is a life-changing experience.,West End,Daily by appointment,,,,,,@deepblueroatan,16.30571,-86.592872,5.0,50,"Freediving, Courses, Professional, Small Groups",,business_placeholder,,,
b083,Paradise Beach Dive Center,paradise-beach-dive-center,active,Dive,Dive Shop,West Bay,$$,no,no,no,yes,PADI 5-Star Instructor Development Center at Paradise Beach Hotel on West Bay Beach. Full range of courses and daily dives.,Their Discover Scuba program is one of the best intro experiences.,"Paradise Beach Hotel, West Bay",,,,,,,,16.274093,-86.598769,,,"PADI Certified, Courses, Beginner Friendly, Full Service",,business_placeholder,,,
b085,Mayan Divers at Mayan Princess,mayan-divers,active,Dive,Dive Shop,West Bay,$$,no,no,no,yes,Dive shop at the Mayan Princess Resort offering convenient reef access and PADI courses for resort guests and walk-ins.,"If you're staying at Mayan Princess, the dive shop is right downstairs.","Mayan Princess Resort, West Bay",,,,,,,,16.275951,-86.599149,,,"PADI Certified, Beach Access, Courses, Equipment Rental",,business_placeholder,,,
b089,Oak Ridge Snorkel Adventure,oak-ridge-snorkel-adventure,active,Dive,Snorkel Tour,Oak Ridge,$,no,yes,no,yes,"Guided snorkel tours through the magical mangrove tunnels and reefs around Oak Ridge — Roatan's 'Venice.' See incredible birdlife, stilt houses, and untouched reef systems. Nothing else like it on the island. A true hidden gem.",The mangrove snorkel is a completely different world from the reef.,Oak Ridge dock,Daily by arrangement,,,,,,,16.389587,-86.356025,4.5,50,"Beginner Friendly, Mangroves, Boat Tour, Equipment Included",,business_placeholder,,,
b097,West Bay Beach Bonfire,west-bay-beach-bonfire,active,Nightlife,Beach Party,West Bay,$,no,no,no,yes,"Beach bonfire nights on West Bay Beach with fire dancers, acoustic music, and dancing under the stars. Lobster bakes and BBQ beside crackling flames on white sand. The kind of night you came to the Caribbean for.",The fire dancers are mesmerizing - find a spot in the sand early.,West Bay Beach,Regular evenings; check locally,,,,,,,16.27459,-86.599,,,"Beach, Fire Dancers, Stars, Music",,business_placeholder,,,
b098,RoaCrawl Bar Crawl,roacrawl,active,Nightlife,Night Club,West End,$,no,yes,no,yes,"Organized bar crawl through West End's best nightlife spots with guides, drink specials at each stop, and round-trip transport. Hits Frank's, Booty Bar, and more. $169/person for the ultimate insider's night out — the fastest way to experience it all.",Book in advance - it's the best way to experience West End nightlife in one night.,Starts at West End village,6-hour guided crawl; evenings,,,,,,@roacrawl,16.306548,-86.59236,4.5,50,"Dancing, Social, Late Night, Fun",,business_placeholder,,,
b099,Roots Reggae Bar,roots-reggae-bar,active,Nightlife,Reggae Bar,West End,$,no,no,no,yes,"Authentic reggae bar in West End with Garifuna music, local DJs, and a true Caribbean groove. No cover, cold beers, and a dance floor that feels like the real island. Come for the music, stay for the vibe.",This is where you'll find the most authentic island music.,West End village,Nightly,,,,,,,16.3044,-86.594,,,"Reggae, Local Vibe, Garifuna Music, Dancing",,business_placeholder,,,
b108,Punta Gorda Garifuna Nights,punta-gorda-garifuna-nights,active,Nightlife,Live Music,Punta Gorda,$,no,yes,no,yes,Authentic Garifuna drumming and cultural performances in the traditional village of Punta Gorda. Two-hour shows with traditional dinner under thatch palapas. UNESCO-recognized intangible heritage — a soul-stirring experience you won't find in any resort.,This is the real deal - authentic Garifuna culture you won't find anywhere else.,Punta Gorda village,2-hour performances; check schedule,,,,,,,16.41369,-86.364287,4.5,50,"Garifuna Music, Cultural, Local Vibe, Dancing",,business_placeholder,,,
b111,Bodden Tours,bodden-tours,active,Tours,Island Tour,Coxen Hole,$$,yes,no,yes,yes,"The original Best of Roatan tour operator since 2003. Native guide Victor Bodden offers private island tours, Zip-n-Dip excursions, snorkel trips, ATV adventures, and wheelchair-accessible tours. From $30/person — nobody knows this island better.",The Best of Roatan combo tour is the most popular for a reason.,"Meeting point at cruise port, Coxen Hole",Daily; flexible scheduling,,,,https://www.boddentours.com,,@boddentours,16.313628,-86.544489,4.8,500,"Family Friendly, Local Guide, Shuttle Included, Full Day",,business_placeholder,,,
b112,Gumbalimba Park,gumbalimba-park,active,Tours,Nature Park,West Bay,$$,yes,no,no,yes,"20-acre beachfront nature park in West Bay with Capuchin monkeys, macaws, exotic birds, a cave tour, and a 12-cable zipline course with suspension bridges. Immaculate grounds and experienced guides make this Roatan's must-visit family attraction.",Feed the monkeys and parrots - they're incredibly friendly.,West Bay,Daily 8am–4pm,,,,,,@gumbalimbapark,16.282575,-86.595909,4.5,1525,"Family Friendly, Wildlife, Nature, Beach Access",,business_placeholder,,,
b113,Daniel Johnson's Monkey & Sloth Hangout,daniel-johnsons-monkey-sloth,active,Tours,Nature Park,French Harbour,$$,yes,no,no,yes,"Beloved animal sanctuary in French Cay where you can hold sloths, play with capuchin monkeys, and meet scarlet macaws up close. A rescue and rehabilitation center with respectful, personal animal encounters — the island's most heartwarming experience.","Note: since 2025 guests can no longer hold sloths, but you can still get close.","French Cay, 25 min from cruise port",Mon–Fri 9am–3pm; Sat 9am–1pm; Closed Sun,,,,https://monkeyandslothhangout.com,,@monkeyslothhangout,16.364152,-86.439274,4.8,1000,"Family Friendly, Wildlife, Nature, Eco Friendly",,business_placeholder,,,
b114,South Shore Canopy Zipline,south-shore-zipline,active,Tours,Zipline,West Bay,$$,no,no,no,yes,"Adrenaline-pumping zipline park with 11 cables, 12 platforms, and a 1,300-foot longest line across 28 acres of eco-park. Speeds up to 40 mph, 100 feet above the canopy. 45-minute guided tours with cultural narration. $65–$115.","The Superman line is the longest at 1,300 feet - pure adrenaline.","South Shore, near French Harbour",Daily 8am–3:30pm,,,,,,,16.286686,-86.590769,4.5,1023,"Adventure, Family Friendly, Nature, Ocean View",,business_placeholder,,,
