ID,Name,Category,Subcategory,Area,Price Range,isFeatured,Status,Has Insider Tip,Description (first 80 chars),KEEP? (yes/no),FEATURED? (yes/no),INSIDER PICK? (yes/no),BEST OF? (yes/no),Latitude,Longitude,TripAdvisor Rating,TripAdvisor Reviews,Hours,SEO Description,NOTES
b081,Deep Blue Freediving,dive,Freediving,West End,$$,no,active,yes,"Explore Roatan's reef on a single breath. Professional PADI and Apnea Total freediving instruction from beginner to master level. Warm crystal-clear water, great depths close to shore, and zero currents — ideal conditions for the ultimate underwater experience.",yes,no,no,no,16.3065,-86.5890,5.0,50,Daily by appointment,"Explore Roatan's reef on a single breath. Professional PADI and Apnea Total freediving instruction from beginner to master level. Warm crystal-clear water, great depths close to shore, and zero currents — ideal conditions for the ultimate underwater experience.",Explore the reef on a single breath — unique experience
b009,Mila del Mar,eat,Fine Dining,West End,$$$,YES,active,yes,"Ranked #3 restaurant in West End on TripAdvisor. Upscale Caribbean dining on the second floor of The Beach House with unobstructed Half Moon Bay views. Locally caught fish, craft cocktails, and warm candlelit ambiance — pure island elegance.",yes,no,no,no,16.3060,-86.5900,4.9,238,Breakfast 7–10:30am; Dinner noon–9pm daily,"Ranked #3 restaurant in West End on TripAdvisor. Upscale Caribbean dining on the second floor of The Beach House with unobstructed Half Moon Bay views. Locally caught fish, craft cocktails, and warm candlelit ambiance — pure island elegance.",Half Moon Bay views; upscale Beach House dining
b029,The Sunken Fish at Tranquilseas,eat,Seafood,Sandy Bay,$$,no,active,yes,"Sandy Bay's #1 restaurant, hidden inside the Tranquilseas Eco Lodge. Three-course dinner with house wine for just $15. Sustainable seafood, rooftop sunset views, and a rustic Honduran vibe that makes you never want to leave.",yes,no,yes,no,16.3200,-86.5650,4.8,349,Daily; 3-course dinner with wine $15,"Sandy Bay's #1 restaurant, hidden inside the Tranquilseas Eco Lodge. Three-course dinner with house wine for just $15. Sustainable seafood, rooftop sunset views, and a rustic Honduran vibe that makes you never want to leave.",Hidden gem at eco lodge; worth the trip to Sandy Bay
b133,Coxen Hole Municipal Market,shop,Market,Coxen Hole,$,no,active,yes,"The real local market in Coxen Hole — fresh produce, Garifuna crafts, Lenca pottery, and street food. Recently upgraded with modern facilities and organized stalls. Skip the cruise port shops and come here for authentic Honduran goods at local prices.",yes,no,yes,no,16.3240,-86.5355,,,Daily; morning hours best,"The real local market in Coxen Hole — fresh produce, Garifuna crafts, Lenca pottery, and street food. Recently upgraded with modern facilities and organized stalls. Skip the cruise port shops and come here for authentic Honduran goods at local prices.","Lenca pottery, Garifuna crafts — the real local shopping"
b193,Camp Bay Beach,beaches,Public Beach,Camp Bay,$,no,active,yes,"The longest completely natural beach on Roatan — 2.5 miles of pristine white sand on the quiet northeast coast. Gentle waves, zero crowds, and untouched beauty. Bring your own everything. The island's best-kept secret for tranquility seekers.",yes,no,no,no,16.4000,-86.3100,4.5,100,Open 24/7; free admission,"The longest completely natural beach on Roatan — 2.5 miles of pristine white sand on the quiet northeast coast. Gentle waves, zero crowds, and untouched beauty. Bring your own everything. The island's best-kept secret for tranquility seekers.",Longest natural beach on Roatan; remote and pristine
b199,Mahogany Bay Beach,beaches,Beach Club,Dixon Cove,$$,no,active,yes,"Manmade beach at the Carnival cruise port with 20 acres to explore, lounge chair...",no,no,no,no,,,,,,,Manmade cruise port beach; not authentic
b058,Roatan Island Brewing Co.,drink,Brewery,Palmetto Bay,$$,no,active,yes,"Roatan's only craft brewery, tucked in lush Palmetto Bay valley. Tropical ales, lagers, apple cider, kombucha, and gluten-free options. Nature trails, foosball, ping pong, fire pit, and cold pints — worth the drive off the beaten path.",yes,no,yes,no,16.3500,-86.4800,4.5,50,Wed–Sun 11am–5pm; Closed Mon–Tue,"Roatan's only craft brewery, tucked in lush Palmetto Bay valley. Tropical ales, lagers, apple cider, kombucha, and gluten-free options. Nature trails, foosball, ping pong, fire pit, and cold pints — worth the drive off the beaten path.",Only craft brewery on the island; Palmetto Bay location
b088,Infinity Bay Dive Center,dive,Dive Shop,West Bay,$$,no,active,yes,Dive shop at Infinity Bay Resort providing easy access to West Bay's renowned re...,no,no,no,no,,,,,,,Resort dive center at Infinity Bay
b085,Mayan Divers at Mayan Princess,dive,Dive Shop,West Bay,$$,no,active,yes,Dive shop at the Mayan Princess Resort offering convenient reef access and PADI ...,no,no,no,no,,,,,,,Resort dive center at Mayan Princess
b082,Bananarama Dive Center,dive,Dive Shop,West Bay,$$,no,active,yes,Dive center at Bananarama Resort on West Bay Beach offering easy shore diving an...,no,no,no,no,,,,,,,Resort dive center; Bananarama listed in Stay
b083,Paradise Beach Dive Center,dive,Dive Shop,West Bay,$$,no,active,yes,PADI 5-Star Instructor Development Center at Paradise Beach Hotel on West Bay Be...,no,no,no,no,,,,,,,Resort dive center; not distinctive standalone
b168,Camp Bay Eco Lodge,stay,Eco Lodge,Camp Bay,$,no,active,yes,"Remote eco-lodge on Roatan's quiet east end — solar-powered, beachfront, and surrounded by wild horses, birds, and iguanas. The island's best kitesurfing, fly fishing for bonefish and tarpon, and pristine reef snorkeling. From $120/night. Truly off the grid.",yes,no,no,no,16.4000,-86.3200,4.0,221,24/7; arrive before 3pm,"Remote eco-lodge on Roatan's quiet east end — solar-powered, beachfront, and surrounded by wild horses, birds, and iguanas. The island's best kitesurfing, fly fishing for bonefish and tarpon, and pristine reef snorkeling. From $120/night. Truly off the grid.",Solar-powered eco lodge; truly off the grid
b004,Calelu's,eat,Street Food,West End,$,no,active,yes,"The baleada stand West End locals swear by. Giant fresh flour tortillas stuffed to order for under $2, plus a daily $6 lunch plate with meat, plantains, rice, and salad. Ocean-view patio upstairs — bring cash and an appetite.",yes,no,yes,no,16.3095,-86.5510,4.0,377,Daily lunch & dinner,"The baleada stand West End locals swear by. Giant fresh flour tortillas stuffed to order for under $2, plus a daily $6 lunch plate with meat, plantains, rice, and salad. Ocean-view patio upstairs — bring cash and an appetite.",THE baleada stand — locals-only vibe
b089,Oak Ridge Snorkel Adventure,dive,Snorkel Tour,Oak Ridge,$,no,active,yes,"Guided snorkel tours through the magical mangrove tunnels and reefs around Oak Ridge — Roatan's 'Venice.' See incredible birdlife, stilt houses, and untouched reef systems. Nothing else like it on the island. A true hidden gem.",yes,no,yes,no,16.3800,-86.3700,4.5,50,Daily by arrangement,"Guided snorkel tours through the magical mangrove tunnels and reefs around Oak Ridge — Roatan's 'Venice.' See incredible birdlife, stilt houses, and untouched reef systems. Nothing else like it on the island. A true hidden gem.",Unique mangrove channel snorkeling; nothing else like it
b022,Ibagari Sea Salt Restaurant,eat,Fine Dining,West Bay,$$$,no,active,yes,West Bay's #1-ranked restaurant on TripAdvisor. Chef Rick Zachrisson serves USDA Prime beef and fresh-caught fish in an intimate oceanfront setting at Ibagari Boutique Hotel. The lobster ravioli and limoncello tiramisu are legendary.,yes,no,no,no,16.2790,-86.5965,4.8,200,Daily 4:30pm–10pm; Closed Mon,West Bay's #1-ranked restaurant on TripAdvisor. Chef Rick Zachrisson serves USDA Prime beef and fresh-caught fish in an intimate oceanfront setting at Ibagari Boutique Hotel. The lobster ravioli and limoncello tiramisu are legendary.,USDA Prime beef on a Caribbean island — surprisingly excellent
b146,West Bay Beach Gift Shop,shop,Gift Shop,West Bay,$,no,active,yes,"Beachside souvenir shop with t-shirts, magnets, postcards, and beach accessories...",no,no,no,no,,,,,,,Very generic name; likely souvenir stand
b054,Coconut Bar,drink,Local Bar,Coxen Hole,$,no,active,yes,"Where Coxen Hole locals actually drink. Cold beer, local rum, no tourists, no pretense. If you want to experience real island life beyond the resorts, pull up a stool at this no-frills neighborhood bar.",yes,no,yes,no,16.3240,-86.5350,,,Daily,"Where Coxen Hole locals actually drink. Cold beer, local rum, no tourists, no pretense. If you want to experience real island life beyond the resorts, pull up a stool at this no-frills neighborhood bar.",Where Coxen Hole locals actually drink
b161,Anthony's Key Resort,stay,Resort,Sandy Bay,$$,YES,active,yes,"Iconic Sandy Bay resort since 1968 — waterfront bungalows, PADI 5-Star dive center, and Atlantic bottlenose dolphin encounters in a natural lagoon. Kayaks, paddleboards, horseback riding, and three daily meals included. Staff remembers your name.",yes,yes,no,no,16.3257,-86.5723,4.0,1623,24/7,"Iconic Sandy Bay resort since 1968 — waterfront bungalows, PADI 5-Star dive center, and Atlantic bottlenose dolphin encounters in a natural lagoon. Kayaks, paddleboards, horseback riding, and three daily meals included. Staff remembers your name.",
b086,Anthony's Key Resort Dive Center,dive,Dive Shop,Sandy Bay,$$,YES,active,yes,"Full-service PADI 5-Star IDC dive resort with Roatan's famous dolphin dive encounters. Atlantic bottlenose dolphins in a natural lagoon, world-class reef diving minutes away, and 50+ years of diving heritage at this iconic Sandy Bay resort.",yes,yes,no,no,16.3257,-86.5723,4.5,1623,Daily; Mon–Fri office 9am–5pm EST,"Full-service PADI 5-Star IDC dive resort with Roatan's famous dolphin dive encounters. Atlantic bottlenose dolphins in a natural lagoon, world-class reef diving minutes away, and 50+ years of diving heritage at this iconic Sandy Bay resort.",
b154,Arca Roatan,stay,Resort,West Bay,$$$,no,active,yes,"Intimate luxury boutique with only 16 oceanfront rooms — each with king bed, indoor/outdoor showers, and private terrace. Saltwater pool, beachfront restaurant Ahari, and full concierge. Ranked #4 hotel in Bay Islands on TripAdvisor.",yes,no,no,no,16.2785,-86.5968,4.0,111,24/7; Restaurant 7am–9pm,"Intimate luxury boutique with only 16 oceanfront rooms — each with king bed, indoor/outdoor showers, and private terrace. Saltwater pool, beachfront restaurant Ahari, and full concierge. Ranked #4 hotel in Bay Islands on TripAdvisor.",
b155,Bananarama Dive Resort,stay,Dive Resort,West Bay,$,no,active,yes,"Budget-friendly beachfront dive resort on West Bay Beach with hammocks on every porch, free breakfast, and a PADI dive center. Day passes just $30. The social hub where divers, backpackers, and sun-seekers converge. From $99/night.",yes,no,no,no,16.2775,-86.5975,4.0,500,24/7,"Budget-friendly beachfront dive resort on West Bay Beach with hammocks on every porch, free breakfast, and a PADI dive center. Day passes just $30. The social hub where divers, backpackers, and sun-seekers converge. From $99/night.",
b045,Bariloche,drink,Wine Bar,West End,$$,no,active,yes,"New wine bar and steakhouse with generous grilled meat platters perfect for sharing. Live music Wednesday and Friday nights, plus a beach bar out front for sunset cocktails. West End's newest chill-and-grill spot.",yes,no,no,no,16.3091,-86.5519,,,Daily; live music Wed & Fri,"New wine bar and steakhouse with generous grilled meat platters perfect for sharing. Live music Wednesday and Friday nights, plus a beach bar out front for sunset cocktails. West End's newest chill-and-grill spot.",
b195,Beach Club Roatan (Palm Beach),beaches,Beach Club,Johnson Bight,$$,no,active,yes,"Spacious 150,000 sq ft private beach club on the north shore at Johnson Bight. Horseback riding, snorkeling, jet skiing, kayaking, and Lionfish Louie's restaurant. Day passes include roundtrip transport from cruise ports. 1.5 miles from Mahogany Bay.",yes,no,no,no,16.3600,-86.4600,4.0,100,Daily; day passes available,"Spacious 150,000 sq ft private beach club on the north shore at Johnson Bight. Horseback riding, snorkeling, jet skiing, kayaking, and Lionfish Louie's restaurant. Day passes include roundtrip transport from cruise ports. 1.5 miles from Mahogany Bay.",
b049,Beachers Bar & Grill,drink,Beach Bar,West Bay,$$,YES,active,yes,"Family-run for 15+ years, directly on the white sand of West Bay Beach. The island's longest happy hour (10am–6pm, 2-for-1 cocktails), famous coconut shrimp, and Monday lobster specials — 3 tails for ~$20. Chairs, sun, cold drinks, paradise.",yes,yes,no,yes,16.2770,-86.5980,4.3,350,Mon–Fri 9am–10pm; Sat–Sun 10am–10pm; Happy Hour 10am–6pm,"Family-run for 15+ years, directly on the white sand of West Bay Beach. The island's longest happy hour (10am–6pm, 2-for-1 cocktails), famous coconut shrimp, and Monday lobster specials — 3 tails for ~$20. Chairs, sun, cold drinks, paradise.",
b104,Beachers Sunday Funday,nightlife,Beach Party,West Bay,$,no,active,yes,"Legendary Sunday day-party at Beachers on West Bay Beach. 2-for-1 drinks all day, live music, beach games, and the whole island shows up. The perfect way to close out your week in paradise.",yes,no,no,no,16.2770,-86.5980,4.3,350,Sundays all day,"Legendary Sunday day-party at Beachers on West Bay Beach. 2-for-1 drinks all day, live music, beach games, and the whole island shows up. The perfect way to close out your week in paradise.",
b010,Blue Elephant Thai,eat,Asian,West End,$$,no,active,yes,"Surprisingly authentic Thai cuisine overlooking the bay in West End. Two floors of seating plus waterfront tables. Pad thai, green curry, and spicy noodle dishes served with 16+ years of culinary expertise. A welcome change from Caribbean fare.",yes,no,no,no,16.3085,-86.5515,4.6,261,Tue–Sun 11am–9:30pm,"Surprisingly authentic Thai cuisine overlooking the bay in West End. Two floors of seating plus waterfront tables. Pad thai, green curry, and spicy noodle dishes served with 16+ years of culinary expertise. A welcome change from Caribbean fare.",
b046,Blue Marlin,drink,Party Bar,West End,$,YES,active,yes,"Roatan's most popular dance club, completely refurbished in 2022. Legendary Thursday karaoke, Saturday trivia nights, and a pumping dance floor with generous rum punches. Breakfast by day, mayhem by night — a true West End tradition.",yes,yes,no,no,16.3097,-86.5513,4.3,275,"Daily 8am–late; Thu karaoke, Sat trivia","Roatan's most popular dance club, completely refurbished in 2022. Legendary Thursday karaoke, Saturday trivia nights, and a pumping dance floor with generous rum punches. Breakfast by day, mayhem by night — a true West End tradition.",
b091,Blue Marlin Night Club,nightlife,Night Club,West End,$,YES,active,yes,"Roatan's biggest and loudest dance club — DJs spinning until 3am, a pumping dance floor, and generously poured rum punches. The go-to spot for a proper night out in West End. Thursday karaoke and Saturday trivia are legendary.",yes,no,no,yes,16.3097,-86.5513,4.5,275,Daily until 3am,"Roatan's biggest and loudest dance club — DJs spinning until 3am, a pumping dance floor, and generously poured rum punches. The go-to spot for a proper night out in West End. Thursday karaoke and Saturday trivia are legendary.",
b111,Bodden Tours,tours,Island Tour,Coxen Hole,$$,YES,active,yes,"The original Best of Roatan tour operator since 2003. Native guide Victor Bodden offers private island tours, Zip-n-Dip excursions, snorkel trips, ATV adventures, and wheelchair-accessible tours. From $30/person — nobody knows this island better.",yes,yes,no,yes,16.3240,-86.5350,4.8,500,Daily; flexible scheduling,"The original Best of Roatan tour operator since 2003. Native guide Victor Bodden offers private island tours, Zip-n-Dip excursions, snorkel trips, ATV adventures, and wheelchair-accessible tours. From $30/person — nobody knows this island better.",
b042,Booty Bar,drink,Party Bar,West End,$,no,active,yes,"Waterfront bar by day, pumping nightclub after dark. Two buildings over the water with DJs, light shows, and Caribbean cocktails. West End's go-to spot when you want to dance with your feet in the sand.",yes,no,no,no,16.3098,-86.5512,4.0,95,Mon–Thu 7:30am–10pm; Fri–Sun 7:30am–late,"Waterfront bar by day, pumping nightclub after dark. Two buildings over the water with DJs, light shows, and Caribbean cocktails. West End's go-to spot when you want to dance with your feet in the sand.",
b013,Cafe de Palo,eat,Cafe,West End,$,no,active,yes,"Hidden coffee gem in Mangrove Bight with three gorgeous seating areas — including a covered dock on the water with couches. Espresso, fresh pastries, all-day brunch, and cocktails. An escape from the West End crowds.",yes,no,no,no,16.3110,-86.5480,4.4,51,Wed–Mon 7am–6pm; Closed Tue,"Hidden coffee gem in Mangrove Bight with three gorgeous seating areas — including a covered dock on the water with couches. Espresso, fresh pastries, all-day brunch, and cocktails. An escape from the West End crowds.",
b002,Cannibal Cafe,eat,Mexican,West End,$,no,active,yes,"Best Mexican food on Roatan since 1996. Home of the legendary Big Kahuna Burrito, lionfish tacos, and a DIY salsa bar with custom spice levels. Huge portions, tiny prices — locals and divers pack this two-story West End spot nightly.",yes,no,no,no,16.3100,-86.5500,4.4,624,Mon–Sat 7am–10pm; Closed Sun,"Best Mexican food on Roatan since 1996. Home of the legendary Big Kahuna Burrito, lionfish tacos, and a DIY salsa bar with custom spice levels. Huge portions, tiny prices — locals and divers pack this two-story West End spot nightly.",
b169,Captain Van's Rentals,rentals,Scooter Rental,West Bay,$,YES,active,yes,"Roatan's most popular scooter and motorcycle rental since 1997. Yamaha 115cc scooters from $35/day, 155cc from $55/day, plus Honda motorcycles and bicycles. West Bay Mall location. Must be 18+ with valid license and riding experience.",yes,no,no,yes,16.2790,-86.5965,4.5,200,Daily,"Roatan's most popular scooter and motorcycle rental since 1997. Yamaha 115cc scooters from $35/day, 155cc from $55/day, plus Honda motorcycles and bicycles. West Bay Mall location. Must be 18+ with valid license and riding experience.",
b141,Caribbean Cigar Co.,shop,Cigar Shop,West Bay,$$,no,active,yes,"Hand-rolled Honduran cigars in a relaxed West Bay lounge. Premium Cuban and Honduran selections, comfortable seating, and ocean breezes. The perfect post-dinner ritual for cigar lovers on vacation.",yes,no,no,no,16.2790,-86.5965,,,Daily,"Hand-rolled Honduran cigars in a relaxed West Bay lounge. Premium Cuban and Honduran selections, comfortable seating, and ocean breezes. The perfect post-dinner ritual for cigar lovers on vacation.",
b026,Celeste's Island Cuisine,eat,Seafood,West Bay,$$,no,active,yes,Award-winning West Bay seafood restaurant with the best lobster tail on the island and jumbo coconut shrimp. Wednesday all-you-can-eat lobster special is unmissable. Rescued parrots roam the garden. Outdoor romance meets Caribbean flavor.,yes,no,no,no,16.2810,-86.5950,4.5,856,Daily lunch & dinner; Wed all-you-can-eat lobster,Award-winning West Bay seafood restaurant with the best lobster tail on the island and jumbo coconut shrimp. Wednesday all-you-can-eat lobster special is unmissable. Rescued parrots roam the garden. Outdoor romance meets Caribbean flavor.,
b165,CoCo View Resort,stay,Dive Resort,French Harbour,$$,no,active,yes,"Legendary south shore dive resort — the most returned-to in the world. Shore diving 24/7, 150+ dive sites, Mary's Place (voted Best Dive Site 2018), and the Prince Albert wreck. Custom 50-foot boats and a PADI 5-Star dive shop.",yes,no,no,no,16.3350,-86.5150,4.0,717,24/7,"Legendary south shore dive resort — the most returned-to in the world. Shore diving 24/7, 150+ dive sites, Mary's Place (voted Best Dive Site 2018), and the Prince Albert wreck. Custom 50-foot boats and a PADI 5-Star dive shop.",
b066,Coconut Tree Divers,dive,Dive Shop,West End,$$,YES,active,yes,"PADI 5-Star Instructor Development Center and Roatan's only TEC Diving Center. IDC, rebreather, sidemount, and divemaster internship programs with 40+ years combined experience. Half Moon Bay's premier dive operation.",yes,yes,no,yes,16.3060,-86.5890,4.8,1320,"Daily 8am–8pm; Morning boat 9am, Afternoon 1pm & 2:30pm","PADI 5-Star Instructor Development Center and Roatan's only TEC Diving Center. IDC, rebreather, sidemount, and divemaster internship programs with 40+ years combined experience. Half Moon Bay's premier dive operation.",
b011,Crisp Roatan,eat,Cafe,West End,$,no,active,yes,"Roatan's go-to for fresh poke bowls, colorful salads, and cold-pressed juices in an Instagram-worthy setting. AC, WiFi, and vegan-friendly options make this cheerful West End cafe the perfect healthy lunch break between dives.",yes,no,no,no,16.3088,-86.5518,5.0,50,Mon–Sat 10:30am–6pm; Closed Sun,"Roatan's go-to for fresh poke bowls, colorful salads, and cold-pressed juices in an Instagram-worthy setting. AC, WiFi, and vegan-friendly options make this cheerful West End cafe the perfect healthy lunch break between dives.",
b113,Daniel Johnson's Monkey & Sloth Hangout,tours,Nature Park,French Harbour,$$,YES,active,yes,"Beloved animal sanctuary in French Cay where you can hold sloths, play with capuchin monkeys, and meet scarlet macaws up close. A rescue and rehabilitation center with respectful, personal animal encounters — the island's most heartwarming experience.",yes,yes,no,no,16.3400,-86.5100,4.8,1000,Mon–Fri 9am–3pm; Sat 9am–1pm; Closed Sun,"Beloved animal sanctuary in French Cay where you can hold sloths, play with capuchin monkeys, and meet scarlet macaws up close. A rescue and rehabilitation center with respectful, personal animal encounters — the island's most heartwarming experience.",
b028,Dragonfly Sushi & Fusion,eat,Asian,Sandy Bay,$$,no,active,yes,"Fresh, creative sushi and Asian fusion at Coral Stone Plaza in Sandy Bay. Beautiful murals, full bar, and daily specials. Caribbean-Asian flavors meet affordable prices — a newer spot that's quickly earning a loyal following.",yes,no,no,no,16.3150,-86.5700,4.7,7,Mon–Fri 12–3pm & 5–9pm,"Fresh, creative sushi and Asian fusion at Coral Stone Plaza in Sandy Bay. Beautiful murals, full bar, and daily specials. Caribbean-Asian flavors meet affordable prices — a newer spot that's quickly earning a loyal following.",
b139,Driftwood Designs,shop,Home Decor,West End,$$,no,active,yes,"Handcrafted home decor and gifts made from local driftwood, shells, and natural materials. A West End treasure trove of island-made items you won't find at the cruise port. Perfect for a meaningful souvenir.",yes,no,no,no,16.3085,-86.5522,,,Daily,"Handcrafted home decor and gifts made from local driftwood, shells, and natural materials. A West End treasure trove of island-made items you won't find at the cruise port. Perfect for a meaningful souvenir.",
b047,Eagle Ray's Bar,drink,Dive Bar,West End,$,no,active,yes,"Laid-back waterfront dive bar built out over the Caribbean, popular with expats and the diver crowd. Cold beers, excellent fish tacos, and a fish soup loaded with crab and lobster. No frills, just good vibes and ocean breezes.",yes,no,no,no,16.3070,-86.5900,3.5,100,Daily; hours vary,"Laid-back waterfront dive bar built out over the Caribbean, popular with expats and the diver crowd. Cold beers, excellent fish tacos, and a fish soup loaded with crab and lobster. No frills, just good vibes and ocean breezes.",
b043,Frank's,drink,Party Bar,West End,$,no,active,yes,"Late-night West End institution with a cigar lounge, outdoor dance floor between two buildings, and premium Cuban and Honduran cigars. Excellent cocktails flow until the last person leaves. The place to end your night in West End.",yes,no,no,no,16.3095,-86.5515,4.0,70,Daily noon–late,"Late-night West End institution with a cigar lounge, outdoor dance floor between two buildings, and premium Cuban and Honduran cigars. Excellent cocktails flow until the last person leaves. The place to end your night in West End.",
b033,Gio's Restaurant,eat,Seafood,French Harbour,$$$,YES,active,yes,"World-renowned French Harbour landmark since 1994. Pioneer of the Spiny Caribbean King Crab dish and winner of Honduras' Top 30 Touristic Marvels award. Fresh seafood, Italian classics, and private waterfront dining at a Roatan institution.",yes,yes,no,yes,16.3350,-86.5150,4.3,590,Daily lunch & dinner,"World-renowned French Harbour landmark since 1994. Pioneer of the Spiny Caribbean King Crab dish and winner of Honduras' Top 30 Touristic Marvels award. Fresh seafood, Italian classics, and private waterfront dining at a Roatan institution.",
